"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","SYMBOL","ENTREZID"
-0.661530234407453,6.45417605855503,-6.18645842309857,5.28219033507482e-09,7.03721020862317e-05,10.2058134386803,"ILMN_1676938","LOC649214","649214"
-1.13359147027867,7.19478102064687,-6.0784950167756,9.11642650142153e-09,7.03721020862317e-05,9.69903031956259,"ILMN_3284222","LOC391359","391359"
-0.777341037497884,6.78002219995647,-5.98589957200063,1.44947460303864e-08,7.03721020862317e-05,9.26860907367983,"ILMN_1813131","LOC643431","643431"
-0.836712523385708,6.90312097451729,-5.97342050542007,1.54246713299519e-08,7.03721020862317e-05,9.21090490098263,"ILMN_3256445","LOC100130289","100130289"
-0.819057423116313,6.85200715459167,-5.95613166743731,1.68103270557739e-08,7.03721020862317e-05,9.13108033978076,"ILMN_3252936","KRT18P17","344866"
-0.625361803294332,6.51236239535582,-5.91114689735595,2.1013200243433e-08,7.03721020862317e-05,8.92403967181632,"ILMN_2168866","C6orf62","81688"
-0.834818406246306,6.50979981417666,-5.89476343151206,2.27867848368777e-08,7.03721020862317e-05,8.84887351685132,"ILMN_2264916","EDNRB","1910"
-0.708179584372712,7.01298075865173,-5.79217526351629,3.77341868691374e-08,8.71274698539627e-05,8.38113550614769,"ILMN_1759973","NDUFA5","4698"
-0.716434277313825,6.71504122204776,-5.77870002650527,4.03032055943948e-08,8.71274698539627e-05,8.32007617228155,"ILMN_2130003","CCBL2","56267"
-0.520207839104014,6.41129652355317,-5.75188438383743,4.59351328383116e-08,9.02750637907837e-05,8.1988334922114,"ILMN_1709360","CENTD1","116984"
-0.716355423871097,6.6292548811723,-5.72007947447648,5.36186042518316e-08,9.60770051840342e-05,8.0554925929874,"ILMN_1759396","NNT","23530"
-0.661850677544313,6.38920028427277,-5.70468534888991,5.77759768430217e-08,9.60770051840342e-05,7.9862934158623,"ILMN_2398474","RAP1B","5908"
-0.923657631739123,6.9860112275184,-5.68161551095252,6.46028885207626e-08,9.97560888601319e-05,7.88281202129678,"ILMN_1842286",NA,NA
-0.96810216312244,7.26019178306508,-5.66518037006304,6.99415100797922e-08,0.000100645290716226,7.80925371709419,"ILMN_3252556","CARD16","114769"
-0.595397068104681,6.54493099383265,-5.65211834673141,7.44899922037017e-08,0.000100645290716226,7.75088931698054,"ILMN_2101928","HNRPH1","3187"
-0.506265397698606,6.39917261555275,-5.62941656219311,8.30929021590162e-08,0.000105664844639624,7.64965713280146,"ILMN_2352926","BPGM","669"
-0.796440089360485,6.67420655064446,-5.57180650813819,1.09520997921794e-07,0.000131534718504074,7.3939385434507,"ILMN_1764036","P2RY14","9934"
-0.606626228857879,6.94444507712517,-5.55575577598736,1.18243741861255e-07,0.000134536484818769,7.32299583167426,"ILMN_3178307","KRT18P28","343326"
-0.536627392532047,6.73710399759628,-5.49307982242596,1.59283629389371e-07,0.000161765543333515,7.04725182067467,"ILMN_2152010","CBWD1","55871"
-0.568602923050872,6.6508560244098,-5.48102752035614,1.68635595380579e-07,0.000161765543333515,6.99446231797973,"ILMN_3218721","LOC100131349","100131349"
-0.668618869213744,7.61311970318435,-5.47669112528656,1.72129833620962e-07,0.000161765543333515,6.9754873955192,"ILMN_2112580","FCGR3A","2214"
-0.60108104431126,6.7506237448004,-5.4726025342859,1.75489070343004e-07,0.000161765543333515,6.95760584637738,"ILMN_1762330","C1D","10438"
-0.824101967442509,6.89786416574184,-5.46771373434585,1.79589834397463e-07,0.000161765543333515,6.93623610419543,"ILMN_1762808","LOC651919","651919"
-1.27934461790463,7.56646700503051,-5.43695984956699,2.07615835873684e-07,0.000179529565596692,6.80209491747368,"ILMN_1773262","ESM1","11082"
-0.551485780011898,6.68509383280002,-5.4278718316072,2.16685073598475e-07,0.000180165304655839,6.76255092830892,"ILMN_3201895","LOC100132086","100132086"
